date,GDP,IP,EMP
2012-07-01,0.001966076,-0.003795404,0.001459925
2012-08-01,-0.001295843,-0.010116569,0.002753737
2012-09-01,-9.45E-05,-0.003378682,0.002842894
2012-10-01,-0.000432362,-0.000270297,0.000432277
2012-11-01,0.004777818,0.010153364,0.001653442
2012-12-01,-8.08E-05,-0.004373294,0.00272703
2013-01-01,0.004870557,0.007691526,-0.000402067
2013-02-01,0.004478692,0.010570145,0.003370091
2013-03-01,0.004011724,0.006194692,-0.004095353
2013-04-01,0.001114668,-0.006962729,0.0016311
2013-05-01,0.0026423,-0.002094097,0.003581338
2013-06-01,-0.003927306,-0.003048324,-0.000445556
2013-07-01,0.005432124,0.004079396,-0.001569487
2013-08-01,0.00473821,0.008705072,0.001592051
2013-09-01,0.003297945,0.00825191,-0.000564267
2013-10-01,0.0056077,0.013872672,0.000496572
2013-11-01,0.001536767,-0.003367586,0.000535795
2013-12-01,-0.004808178,-0.008613378,-0.001766391
2014-01-01,0.002856705,0.003737464,0.000954126
2014-02-01,0.005920282,0.018471968,-7.34E-05
2014-03-01,0.001183055,0.003227337,0.000981476
2014-04-01,0.003453828,0.013007649,-0.000535744
2014-05-01,0.003637978,0.002657752,0.000174853
2014-06-01,0.002817958,0.008402653,0.001718702
2014-07-01,0.000590442,-0.005822502,0.003035723
2014-08-01,-0.001562983,-0.016789323,-0.002439094
2014-09-01,0.006198543,0.018979905,0.001501253
2014-10-01,0.004123124,0.007971768,0.001515832
2014-11-01,-0.0007096,-0.003683462,6.73E-05
2014-12-01,0.001892712,0.003982358,0.00187744
2015-01-01,-0.003611098,-0.006796065,9.52E-05
2015-02-01,-0.000767876,-0.006415125,0.000945701
2015-03-01,-0.001017415,-0.006072074,0.002329656
2015-04-01,-0.000938175,-0.008765526,-0.002335249
2015-05-01,-0.002082965,-0.009379307,0.001034216
2015-06-01,0.003698135,0.008065736,-0.000743409
2015-07-01,0.003845758,0.014576373,0.00106743
2015-08-01,0.002126167,0.010727917,0.001322925
2015-09-01,-0.004535094,-0.021463287,0.00064687
2015-10-01,0.000560041,-0.002274687,0.000746726
2015-11-01,0.002275629,0.003173955,-0.001901348
2015-12-01,0.001771798,0.0044472,-0.000703467
2016-01-01,0.005318388,0.006029318,-0.000323984
2016-02-01,-0.002440184,-0.009294953,0.001696959
2016-03-01,-0.00343494,-0.010378394,0.000284405
2016-04-01,0.001656277,0.002372001,0.001632371
2016-05-01,-0.007650495,-0.039315485,0.001596365
2016-06-01,0.004746296,0.025352057,0.00042786
2016-07-01,0.007104402,0.02547767,-0.000666874
2016-08-01,0.001743814,0.003603474,0.003202489
2016-09-01,0.004257735,0.011182448,0.001340112
2016-10-01,3.96E-05,-0.005915836,0.001454369
2016-11-01,0.004240028,0.011819208,0.000972086
2016-12-01,0.002175184,0.001517091,0.001489434
2017-01-01,0.004565374,0.003882625,0.004509913
2017-02-01,0.003477637,-0.002033995,0.001551761
2017-03-01,0.004268218,0.006261008,0.001160874
2017-04-01,0.004635875,0.004327572,0.001312573
2017-05-01,0.001937294,0.010984083,0.001954725
2017-06-01,0.002198017,-0.002747696,0.003218598
2017-07-01,-0.00062923,0.000905829,0.002308172
2017-08-01,-0.001087056,-0.014329809,0.001414853
2017-09-01,0.00245923,0.002185932,-3.25E-05
2017-10-01,0.000117599,-0.007319931,0.001602217
2017-11-01,0.004726515,0.010855377,0.004225963
2017-12-01,0.002731952,0.003514768,0.003462425
2018-01-01,0.003250402,0.004392534,-0.001987816
2018-02-01,0.00401381,0.009487523,-0.000532546
2018-03-01,0.002897562,0.014324474,0.003062296
2018-04-01,0.000873283,0.000103924,-0.000198496
2018-05-01,0.004895796,-0.002384981,0.000171675
2018-06-01,0.002033878,0.007829864,0.002748145
2018-07-01,0.002452239,0.006224262,0.004286571
2018-08-01,0.001659508,-0.001956097,-0.002528082
2018-09-01,0.001487471,-0.000857987,0.004103565
2018-10-01,0.002434208,0.0014199,0.000988731
2018-11-01,-0.00196522,-0.00723397,0.004024556
2018-12-01,-0.000552429,-0.010733852,0.001860977
2019-01-01,0.002724748,0.000351694,0.002189611
2019-02-01,-0.002525858,-0.001179066,0.002694809
2019-03-01,0.005746338,0.010992573,-0.001867699
2019-04-01,0.004106772,0.011293642,0.006655144
2019-05-01,0.003930678,0.006021336,0.000836628
2019-06-01,0.003386665,-0.00788907,0.000653129
2019-07-01,0,-0.016168022,-0.000888359
2019-08-01,-0.000621454,-5.35E-05,0.002652286
2019-09-01,0.001708427,0.000775777,0.000229395
2019-10-01,0.001224229,-0.00142361,-0.000458842
2019-11-01,0.000501254,-0.004404058,-0.002412383
2019-12-01,0.000788942,-0.00422094,0.00368411
2020-01-01,0.002439875,0.00840271,0.001426163
2020-02-01,0.002081662,0.011284718,-0.000140444
2020-03-01,-0.074938792,-0.071568732,-0.061598519
2020-04-01,-0.109455233,-0.166748176,-0.116729649
2020-05-01,0.044600182,0.053283951,0.019200688
2020-06-01,0.056051463,0.058003775,0.061260896
2020-07-01,0.023852961,0.032345154,0.023607341
2020-08-01,0.008703997,0.003516628,0.012544533
2020-09-01,0.008873635,0.010926926,0.023438231
2020-10-01,0.006726211,0.008674588,0.003485527
2020-11-01,0.005559044,0.015276395,0.001958643
2020-12-01,0.003079699,0.011449422,-0.003376208
2021-01-01,0.00401721,0.009046866,-0.010126724
2021-02-01,0.004328824,-0.009210301,0.014577478
2021-03-01,0.009417393,0.005106479,0.013473066
2021-04-01,-0.01035255,-0.019768671,-0.010491879
2021-05-01,-0.004576061,0.000595804,-0.003147667
2021-06-01,0.009859283,0.018638022,0.013522983
2021-07-01,0.004818237,-0.001338369,0.005764131
2021-08-01,0.004950965,0.0028209,0.003701916
2021-09-01,0.004781909,-0.002506153,0.008685482
2021-10-01,0.006313109,0.01778418,0.001897401
2021-11-01,0.005668243,-0.003654096,0.007203248
2021-12-01,0.001658455,0.005804984,0.004059953
2022-01-01,-0.000651291,0.006857829,-0.009659717
2022-02-01,0.006243026,0.002565976,0.018382323
2022-03-01,0.007271213,0.009373005,0.000992187
2022-04-01,0.002243911,0.00882279,0.002686679
2022-05-01,0.002689821,-0.003393521,0.001606524
2022-06-01,0.002549628,0.007827,-0.002286399
2022-07-01,3.61E-05,-0.004828402,0.001435314
2022-08-01,0.001837652,-0.000434595,-0.00125769
2022-09-01,0.000108099,0.000684731,0.000598614
2022-10-01,-0.000461214,-0.011547537,0.003457837
2022-11-01,0.000625394,0.001530202,0.001348502
2022-12-01,-0.002343017,-0.010118698,0.003491583
2023-01-01,0.006381084,0.007170638,0.007511053
2023-02-01,0.001733005,0.006621617,0.001087651
2023-03-01,0.002056284,0.007443633,0.001728824
2023-04-01,-0.000201365,-0.0004077,0.002058729
2023-05-01,0.00198699,-0.001176686,-0.000859775
2023-06-01,-0.000633871,0.002136489,0.002973762
2023-07-01,-0.000741456,-0.001396621,-0.000317309
2023-08-01,-0.000496721,-0.005717242,0.001976584
2023-09-01,0.000431139,-0.001401297,0.003152457
2023-10-01,0.0010716,-0.001685178,0.000862968
